date,day_of_year,day,month,temperature
2023-01-01,1,1,1,15.917204791075196
2023-01-02,2,2,1,15.141819664470681
2023-01-03,3,3,1,16.497729479383576
2023-01-04,4,4,1,17.987569052635237
2023-01-05,5,5,1,15.52841792528946
2023-01-06,6,6,1,15.704811539050576
2023-01-07,7,7,1,18.600899672254616
2023-01-08,8,8,1,17.55893981486201
2023-01-09,9,9,1,15.878876627740382
2023-01-10,10,10,1,17.571771507193723
2023-01-11,11,11,1,16.23714055921375
2023-01-12,12,12,1,16.407450368330807
2023-01-13,13,13,1,17.642158537390703
2023-01-14,14,14,1,14.581807293072803
2023-01-15,15,15,1,15.03615620239232
2023-01-16,16,16,1,16.951150281479595
2023-01-17,17,17,1,16.445577648304454
2023-01-18,18,18,1,18.605583245455804
2023-01-19,19,19,1,16.940660503641826
2023-01-20,20,20,1,16.351773443938193
2023-01-21,21,21,1,20.835234375146047
2023-01-22,22,22,1,18.463580978176925
2023-01-23,23,23,1,19.06792636946796
2023-01-24,24,24,1,16.992757612739545
2023-01-25,25,25,1,18.475361939335396
2023-01-26,26,26,1,19.61913981006911
2023-01-27,27,27,1,17.885803051270653
2023-01-28,28,28,1,20.334049736547016
2023-01-29,29,29,1,19.026380366279678
2023-01-30,30,30,1,19.645214876909854
2023-01-31,31,31,1,19.334149520176947
2023-02-01,32,1,2,23.16757335041891
2023-02-02,33,2,2,20.519805878276095
2023-02-03,34,3,2,19.102786738242344
2023-02-04,35,4,2,22.070834931065964
2023-02-05,36,5,2,19.151737259581473
2023-02-06,37,6,2,21.440562262114767
2023-02-07,38,7,2,18.3302635153316
2023-02-08,39,8,2,19.41818841106103
2023-02-09,40,9,2,21.84461486270546
2023-02-10,41,10,2,22.79399548034293
2023-02-11,42,11,2,22.078398604207734
2023-02-12,43,12,2,21.780963764747096
2023-02-13,44,13,2,21.633872128852737
2023-02-14,45,14,2,19.99680028496533
2023-02-15,46,15,2,21.261799910225683
2023-02-16,47,16,2,21.775482226519443
2023-02-17,48,17,2,24.174853568968228
2023-02-18,49,18,2,23.225148311318243
2023-02-19,50,19,2,20.183497851741524
2023-02-20,51,20,2,23.43027422293157
2023-02-21,52,21,2,22.48033509008328
2023-02-22,53,22,2,22.154073567108835
2023-02-23,54,23,2,24.196125315008068
2023-02-24,55,24,2,24.931889873817536
2023-02-25,56,25,2,24.886685711698437
2023-02-26,57,26,2,22.33287997882412
2023-02-27,58,27,2,23.227365492567962
2023-02-28,59,28,2,24.285066062380622
2023-03-01,60,1,3,25.34595727344157
2023-03-02,61,2,3,23.255802190528033
2023-03-03,62,3,3,23.785428586446706
2023-03-04,63,4,3,22.491172638424594
2023-03-05,64,5,3,22.44050352847448
2023-03-06,65,6,3,25.53509743011373
2023-03-07,66,7,3,26.429498170882592
2023-03-08,67,8,3,24.363264699482833
2023-03-09,68,9,3,26.050012224004384
2023-03-10,69,10,3,25.157870873363418
2023-03-11,70,11,3,23.715692656321565
2023-03-12,71,12,3,25.290653987681576
2023-03-13,72,13,3,27.11801872397038
2023-03-14,73,14,3,24.81682610428661
2023-03-15,74,15,3,27.274313749640065
2023-03-16,75,16,3,21.05168018258839
2023-03-17,76,17,3,26.265253133111383
2023-03-18,77,18,3,25.211209820872327
2023-03-19,78,19,3,24.6774935260254
2023-03-20,79,20,3,25.306124579859823
2023-03-21,80,21,3,22.226711330814755
2023-03-22,81,22,3,24.915230335764655
2023-03-23,82,23,3,25.814163281207485
2023-03-24,83,24,3,27.526166017985805
2023-03-25,84,25,3,24.55981676676885
2023-03-26,85,26,3,24.149438664599742
2023-03-27,86,27,3,24.631554396094984
2023-03-28,87,28,3,26.776352907634667
2023-03-29,88,29,3,25.912480876045166
2023-03-30,89,30,3,24.637859806746278
2023-03-31,90,31,3,26.212586169468942
2023-04-01,91,1,4,25.595523721383962
2023-04-02,92,2,4,26.90713407234671
2023-04-03,93,3,4,24.402383166057543
2023-04-04,94,4,4,24.96230393595368
2023-04-05,95,5,4,24.861009378955682
2023-04-06,96,6,4,23.246316595343522
2023-04-07,97,7,4,25.875233526603843
2023-04-08,98,8,4,25.809151400943975
2023-04-09,99,9,4,25.408810824898236
2023-04-10,100,10,4,25.029895202260686
2023-04-11,101,11,4,23.236425386562686
2023-04-12,102,12,4,24.70329753565178
2023-04-13,103,13,4,24.792065141664747
2023-04-14,104,14,4,24.071689602491254
2023-04-15,105,15,4,24.999253398791602
2023-04-16,106,16,4,25.810454115462445
2023-04-17,107,17,4,27.993984337457285
2023-04-18,108,18,4,25.384044889120723
2023-04-19,109,19,4,25.463135552388604
2023-04-20,110,20,4,24.916946926472466
2023-04-21,111,21,4,22.099454610955647
2023-04-22,112,22,4,24.88404264978049
2023-04-23,113,23,4,24.957584625291332
2023-04-24,114,24,4,28.502770390658867
2023-04-25,115,25,4,24.45729481342225
2023-04-26,116,26,4,25.13336731444258
2023-04-27,117,27,4,24.56149036868898
2023-04-28,118,28,4,22.790375850919794
2023-04-29,119,29,4,26.184807448067463
2023-04-30,120,30,4,25.523021588765516
2023-05-01,121,1,5,25.50361110765779
2023-05-02,122,2,5,22.872340098307006
2023-05-03,123,3,5,26.257413163902417
2023-05-04,124,4,5,21.964713979342207
2023-05-05,125,5,5,24.859540434886775
2023-05-06,126,6,5,27.174225425954063
2023-05-07,127,7,5,22.309576026763125
2023-05-08,128,8,5,22.85035286880529
2023-05-09,129,9,5,23.75130568545762
2023-05-10,130,10,5,22.74628506961285
2023-05-11,131,11,5,21.07284526707121
2023-05-12,132,12,5,23.396730590114473
2023-05-13,133,13,5,21.593212704730927
2023-05-14,134,14,5,23.78760875443873
2023-05-15,135,15,5,21.58643918951417
2023-05-16,136,16,5,25.17667074428593
2023-05-17,137,17,5,21.560956162567425
2023-05-18,138,18,5,22.13471999456126
2023-05-19,139,19,5,23.718009920824667
2023-05-20,140,20,5,20.5293421674844
2023-05-21,141,21,5,22.592753473997046
2023-05-22,142,22,5,24.08626126378928
2023-05-23,143,23,5,19.586403294116504
2023-05-24,144,24,5,22.144796787431734
2023-05-25,145,25,5,22.12606482362186
2023-05-26,146,26,5,22.7755868305907
2023-05-27,147,27,5,19.612296612726123
2023-05-28,148,28,5,19.35020770447535
2023-05-29,149,29,5,21.975316733831853
2023-05-30,150,30,5,21.49777749146911
2023-05-31,151,31,5,21.28636318567734
2023-06-01,152,1,6,21.28709044870322
2023-06-02,153,2,6,19.602689988719167
2023-06-03,154,3,6,20.824975622480146
2023-06-04,155,4,6,20.76867564503261
2023-06-05,156,5,6,19.108660716465398
2023-06-06,157,6,6,22.82866516641268
2023-06-07,158,7,6,20.589308969523895
2023-06-08,159,8,6,17.938947520760692
2023-06-09,160,9,6,20.556910064990397
2023-06-10,161,10,6,17.955114801956693
2023-06-11,162,11,6,20.441750032321014
2023-06-12,163,12,6,20.841978190756407
2023-06-13,164,13,6,17.715046931830706
2023-06-14,165,14,6,20.23219238660139
2023-06-15,166,15,6,19.246478142396906
2023-06-16,167,16,6,19.699745167271804
2023-06-17,168,17,6,21.150411278790276
2023-06-18,169,18,6,17.774974528301815
2023-06-19,170,19,6,16.84960490786173
2023-06-20,171,20,6,16.482457253497483
2023-06-21,172,21,6,16.428950429807465
2023-06-22,173,22,6,17.372417565264016
2023-06-23,174,23,6,17.834719931423717
2023-06-24,175,24,6,17.572517973520842
2023-06-25,176,25,6,18.232364944770985
2023-06-26,177,26,6,16.844870335988855
2023-06-27,178,27,6,18.839165908070605
2023-06-28,179,28,6,16.095147523800996
2023-06-29,180,29,6,20.405476079929734
2023-06-30,181,30,6,17.096685423918842
2023-07-01,182,1,7,14.705333634262463
2023-07-02,183,2,7,14.217591284021452
2023-07-03,184,3,7,16.380524220593454
2023-07-04,185,4,7,15.15458349196592
2023-07-05,186,5,7,16.39386796748021
2023-07-06,187,6,7,15.865991644525685
2023-07-07,188,7,7,14.880389132842698
2023-07-08,189,8,7,13.553219351680449
2023-07-09,190,9,7,12.385247388445396
2023-07-10,191,10,7,13.822235602700724
2023-07-11,192,11,7,15.611528062100044
2023-07-12,193,12,7,14.483474758939684
2023-07-13,194,13,7,12.129662933996254
2023-07-14,195,14,7,14.094562234378815
2023-07-15,196,15,7,14.249919367287136
2023-07-16,197,16,7,12.183992040888949
2023-07-17,198,17,7,13.578932731638218
2023-07-18,199,18,7,13.27500632567684
2023-07-19,200,19,7,11.313416360519163
2023-07-20,201,20,7,13.405610631164157
2023-07-21,202,21,7,13.55209196730705
2023-07-22,203,22,7,14.178453738055582
2023-07-23,204,23,7,13.978565770754681
2023-07-24,205,24,7,10.176416296024717
2023-07-25,206,25,7,10.682359673562651
2023-07-26,207,26,7,12.708993312656778
2023-07-27,208,27,7,12.555675526672774
2023-07-28,209,28,7,12.40738368595412
2023-07-29,210,29,7,17.265030300897493
2023-07-30,211,30,7,12.194740689301112
2023-07-31,212,31,7,12.895621389183997
2023-08-01,213,1,8,12.47858451078205
2023-08-02,214,2,8,11.881462966800171
2023-08-03,215,3,8,10.28979565142015
2023-08-04,216,4,8,11.761049445333395
2023-08-05,217,5,8,9.324869554091881
2023-08-06,218,6,8,9.992049410846743
2023-08-07,219,7,8,9.48410215533161
2023-08-08,220,8,8,10.201570576830257
2023-08-09,221,9,8,13.419141850376985
2023-08-10,222,10,8,7.016474065154035
2023-08-11,223,11,8,10.718843153196135
2023-08-12,224,12,8,7.144362621124672
2023-08-13,225,13,8,8.731463559180519
2023-08-14,226,14,8,10.95069180068089
2023-08-15,227,15,8,9.293607759773424
2023-08-16,228,16,8,7.462546732034266
2023-08-17,229,17,8,7.890275299350433
2023-08-18,230,18,8,9.868821082537137
2023-08-19,231,19,8,7.642229943938338
2023-08-20,232,20,8,8.953019609052879
2023-08-21,233,21,8,8.58947163195029
2023-08-22,234,22,8,7.43875906492087
2023-08-23,235,23,8,11.529417583200845
2023-08-24,236,24,8,9.164049895650864
2023-08-25,237,25,8,5.077486656804142
2023-08-26,238,26,8,8.299300957694985
2023-08-27,239,27,8,6.933778315608324
2023-08-28,240,28,8,9.114395208007972
2023-08-29,241,29,8,6.558728318820315
2023-08-30,242,30,8,7.489673640301383
2023-08-31,243,31,8,8.336059637971571
2023-09-01,244,1,9,8.796569604161965
2023-09-02,245,2,9,5.619433349680979
2023-09-03,246,3,9,6.842674919943647
2023-09-04,247,4,9,6.559189125909478
2023-09-05,248,5,9,6.22144812789259
2023-09-06,249,6,9,9.782135059479483
2023-09-07,250,7,9,7.676636305847499
2023-09-08,251,8,9,5.115766846566498
2023-09-09,252,9,9,8.32455361020237
2023-09-10,253,10,9,10.074420832564636
2023-09-11,254,11,9,8.386086456922515
2023-09-12,255,12,9,4.5073292509472624
2023-09-13,256,13,9,6.0118389243961685
2023-09-14,257,14,9,8.593188553906971
2023-09-15,258,15,9,5.588790315930343
2023-09-16,259,16,9,7.2763513119787016
2023-09-17,260,17,9,7.735769113853394
2023-09-18,261,18,9,5.149498786309192
2023-09-19,262,19,9,6.4195750494523995
2023-09-20,263,20,9,1.6188334700965692
2023-09-21,264,21,9,4.918937038360262
2023-09-22,265,22,9,6.0543718705868566
2023-09-23,266,23,9,4.5421845871181805
2023-09-24,267,24,9,8.84604846322331
2023-09-25,268,25,9,4.238734822052077
2023-09-26,269,26,9,5.713344252412824
2023-09-27,270,27,9,6.561939257275216
2023-09-28,271,28,9,8.523112777748837
2023-09-29,272,29,9,4.205743966357269
2023-09-30,273,30,9,8.105579041685061
2023-10-01,274,1,10,6.380442194167479
2023-10-02,275,2,10,4.900052003629166
2023-10-03,276,3,10,7.075655098998071
2023-10-04,277,4,10,6.694235331804563
2023-10-05,278,5,10,5.511424953180253
2023-10-06,279,6,10,6.535513166013238
2023-10-07,280,7,10,5.874850535767839
2023-10-08,281,8,10,6.648053923697549
2023-10-09,282,9,10,7.498871060908039
2023-10-10,283,10,10,8.915530800278164
2023-10-11,284,11,10,4.713538584238804
2023-10-12,285,12,10,9.806485359268306
2023-10-13,286,13,10,3.7183848856596806
2023-10-14,287,14,10,6.461317805722419
2023-10-15,288,15,10,7.616836591211795
2023-10-16,289,16,10,7.204088425053998
2023-10-17,290,17,10,5.899652881546102
2023-10-18,291,18,10,6.575468358545028
2023-10-19,292,19,10,6.204933435060214
2023-10-20,293,20,10,6.1199889903122555
2023-10-21,294,21,10,8.340842566112583
2023-10-22,295,22,10,7.667150940718319
2023-10-23,296,23,10,6.160218771317053
2023-10-24,297,24,10,8.61968693598353
2023-10-25,298,25,10,7.804669399461578
2023-10-26,299,26,10,8.639155050232079
2023-10-27,300,27,10,8.443134566362986
2023-10-28,301,28,10,6.3366940190214045
2023-10-29,302,29,10,6.8240533402709085
2023-10-30,303,30,10,8.87202335624246
2023-10-31,304,31,10,8.755991850854226
2023-11-01,305,1,11,7.901008026295748
2023-11-02,306,2,11,8.202820159687896
2023-11-03,307,3,11,10.040313287337854
2023-11-04,308,4,11,7.3359366530881776
2023-11-05,309,5,11,9.14588053873091
2023-11-06,310,6,11,8.126320431275548
2023-11-07,311,7,11,8.209867313412401
2023-11-08,312,8,11,10.29370871041301
2023-11-09,313,9,11,9.995166012774284
2023-11-10,314,10,11,10.091116185161576
2023-11-11,315,11,11,10.945160125945868
2023-11-12,316,12,11,9.136784885483586
2023-11-13,317,13,11,10.248759227302589
2023-11-14,318,14,11,8.883159482150694
2023-11-15,319,15,11,9.959683305914915
2023-11-16,320,16,11,9.405202147932002
2023-11-17,321,17,11,9.874966275252403
2023-11-18,322,18,11,10.753299349825914
2023-11-19,323,19,11,8.766322792727001
2023-11-20,324,20,11,13.267285303178372
2023-11-21,325,21,11,8.756650918848672
2023-11-22,326,22,11,8.583249596409722
2023-11-23,327,23,11,12.282397609098838
2023-11-24,328,24,11,11.875227171336764
2023-11-25,329,25,11,11.768176991040221
2023-11-26,330,26,11,11.920500700985235
2023-11-27,331,27,11,11.107276709053425
2023-11-28,332,28,11,9.92906672738826
2023-11-29,333,29,11,11.539550763635088
2023-11-30,334,30,11,10.56254799421079
2023-12-01,335,1,12,13.194924098526853
2023-12-02,336,2,12,11.66707552658891
2023-12-03,337,3,12,10.806251495782721
2023-12-04,338,4,12,11.720627820116404
2023-12-05,339,5,12,12.98164125590912
2023-12-06,340,6,12,11.677477144670869
2023-12-07,341,7,12,11.451789514590615
2023-12-08,342,8,12,13.213896754801793
2023-12-09,343,9,12,13.380204427756352
2023-12-10,344,10,12,12.417824015179583
2023-12-11,345,11,12,12.63821354563138
2023-12-12,346,12,12,13.860378289112804
2023-12-13,347,13,12,11.50866124119112
2023-12-14,348,14,12,11.73898000962907
2023-12-15,349,15,12,12.942752092780292
2023-12-16,350,16,12,13.87129632127035
2023-12-17,351,17,12,14.829633688337507
2023-12-18,352,18,12,16.74881919538266
2023-12-19,353,19,12,15.995444436116836
2023-12-20,354,20,12,14.64282510662242
2023-12-21,355,21,12,15.028544246331188
2023-12-22,356,22,12,13.728117746400477
2023-12-23,357,23,12,15.379442574878764
2023-12-24,358,24,12,15.149931592626265
2023-12-25,359,25,12,16.243060866032778
2023-12-26,360,26,12,14.694505597297049
2023-12-27,361,27,12,16.89099550333855
2023-12-28,362,28,12,18.587911697271323
2023-12-29,363,29,12,16.302643661087256
2023-12-30,364,30,12,17.24543402159006
2023-12-31,365,31,12,17.855215987566677
2024-01-01,1,1,1,16.395302853729593
2024-01-02,2,2,1,17.51035483894308
2024-01-03,3,3,1,17.370085273405227
2024-01-04,4,4,1,17.674538415846445
2024-01-05,5,5,1,16.545133311591265
2024-01-06,6,6,1,17.917782235862763
2024-01-07,7,7,1,18.8040778858617
2024-01-08,8,8,1,20.40950313282521
2024-01-09,9,9,1,19.84699444577062
2024-01-10,10,10,1,21.812705128082108
2024-01-11,11,11,1,17.606245754100367
2024-01-12,12,12,1,20.239525953767206
2024-01-13,13,13,1,19.379228138649182
2024-01-14,14,14,1,22.56143205988601
2024-01-15,15,15,1,18.23608552312914
2024-01-16,16,16,1,18.35999881206989
2024-01-17,17,17,1,18.890735360640058
2024-01-18,18,18,1,16.773368660098182
2024-01-19,19,19,1,19.3390640844025
2024-01-20,20,20,1,19.156530003610584
2024-01-21,21,21,1,20.687351901478028
2024-01-22,22,22,1,21.139879392572468
2024-01-23,23,23,1,23.6058903212599
2024-01-24,24,24,1,22.380515649338808
2024-01-25,25,25,1,20.251580542629565
2024-01-26,26,26,1,19.930133918481776
2024-01-27,27,27,1,22.175172174663864
2024-01-28,28,28,1,19.615152898497545
2024-01-29,29,29,1,24.499526549939418
2024-01-30,30,30,1,23.6769156826817
2024-01-31,31,31,1,21.35794596036399
2024-02-01,32,1,2,19.644454280019186
2024-02-02,33,2,2,24.395860276631115
2024-02-03,34,3,2,22.34254336379727
2024-02-04,35,4,2,24.51874203087137
2024-02-05,36,5,2,20.416361246346458
2024-02-06,37,6,2,22.053204335176975
2024-02-07,38,7,2,23.10263425072854
2024-02-08,39,8,2,23.30593837505579
2024-02-09,40,9,2,22.699224801682906
2024-02-10,41,10,2,24.44557050887106
2024-02-11,42,11,2,22.04491553834889
2024-02-12,43,12,2,23.565866960797514
2024-02-13,44,13,2,24.090971119804518
2024-02-14,45,14,2,24.811241521604597
2024-02-15,46,15,2,25.23398853995108
2024-02-16,47,16,2,22.604477245202318
2024-02-17,48,17,2,22.11299897353642
2024-02-18,49,18,2,26.45123610981332
2024-02-19,50,19,2,25.15152910275501
2024-02-20,51,20,2,23.646418464004547
2024-02-21,52,21,2,27.209686473991535
2024-02-22,53,22,2,25.16796851900706
2024-02-23,54,23,2,26.872556657842505
2024-02-24,55,24,2,25.311668312188772
2024-02-25,56,25,2,28.405887420347124
2024-02-26,57,26,2,28.049717527322883
2024-02-27,58,27,2,25.142737833626175
2024-02-28,59,28,2,27.07052734170681
2024-02-29,60,29,2,26.67570350713575
2024-03-01,61,1,3,27.85251088359449
2024-03-02,62,2,3,24.441531860572272
2024-03-03,63,3,3,27.004752289431295
2024-03-04,64,4,3,27.64745019486987
2024-03-05,65,5,3,23.50319946688776
2024-03-06,66,6,3,24.445250359027693
2024-03-07,67,7,3,23.237431615213186
2024-03-08,68,8,3,25.96560262549951
2024-03-09,69,9,3,27.516730219485908
2024-03-10,70,10,3,28.761907866373296
2024-03-11,71,11,3,26.68470275004862
2024-03-12,72,12,3,29.078887192628365
2024-03-13,73,13,3,24.6254129756292
2024-03-14,74,14,3,24.197274606886324
2024-03-15,75,15,3,26.72297629037808
2024-03-16,76,16,3,27.433497549957508
2024-03-17,77,17,3,26.856597096373932
2024-03-18,78,18,3,23.84984140166439
2024-03-19,79,19,3,26.85980335578739
2024-03-20,80,20,3,25.076360451958813
2024-03-21,81,21,3,28.07424699076598
2024-03-22,82,22,3,27.653391793085138
2024-03-23,83,23,3,25.724505271382498
2024-03-24,84,24,3,26.39142171817428
2024-03-25,85,25,3,25.598358786106093
2024-03-26,86,26,3,27.115171315562034
2024-03-27,87,27,3,28.660963211833412
2024-03-28,88,28,3,25.765765142052327
2024-03-29,89,29,3,28.0135698856736
2024-03-30,90,30,3,26.472298592240247
2024-03-31,91,31,3,26.085598148968383
2024-04-01,92,1,4,27.118621046615544
2024-04-02,93,2,4,25.72759932324451
2024-04-03,94,3,4,26.448323197829563
2024-04-04,95,4,4,25.47735476977065
2024-04-05,96,5,4,30.213676716916286
2024-04-06,97,6,4,27.30894843896457
2024-04-07,98,7,4,26.192980230685265
2024-04-08,99,8,4,27.54711050603588
2024-04-09,100,9,4,27.03828382778716
2024-04-10,101,10,4,26.853027100338473
2024-04-11,102,11,4,28.08051556986496
2024-04-12,103,12,4,28.267398481525856
2024-04-13,104,13,4,26.304353784907892
2024-04-14,105,14,4,26.202454605323595
2024-04-15,106,15,4,26.616800284513175
2024-04-16,107,16,4,23.536823738538114
2024-04-17,108,17,4,24.674391576575132
2024-04-18,109,18,4,28.952121367471243
2024-04-19,110,19,4,29.32106737037364
2024-04-20,111,20,4,26.42905737456964
2024-04-21,112,21,4,27.613648907537964
2024-04-22,113,22,4,27.1591145421951
2024-04-23,114,23,4,31.251228434613793
2024-04-24,115,24,4,28.2501986277458
2024-04-25,116,25,4,26.31416991372101
2024-04-26,117,26,4,25.00524736234621
2024-04-27,118,27,4,23.95872342696273
2024-04-28,119,28,4,26.600768680095765
2024-04-29,120,29,4,25.085595921808903
2024-04-30,121,30,4,24.008682622696707
2024-05-01,122,1,5,25.091561954135326
2024-05-02,123,2,5,24.355899692076676
2024-05-03,124,3,5,28.42320302613948
2024-05-04,125,4,5,27.126714429610544
2024-05-05,126,5,5,25.701583025264167
2024-05-06,127,6,5,27.840296722794196
2024-05-07,128,7,5,25.640851924680874
2024-05-08,129,8,5,24.134902335833765
2024-05-09,130,9,5,27.61118466669163
2024-05-10,131,10,5,26.032205479197398
2024-05-11,132,11,5,23.563016896415746
2024-05-12,133,12,5,24.72616025819467
2024-05-13,134,13,5,23.58879272840882
2024-05-14,135,14,5,22.71637594441837
